Date,Total,dgu-ecko.zip
2025-08-11,0,0
2025-08-10,0,0
2025-08-09,0,0
2025-08-08,0,0
2025-08-07,0,0
2025-08-06,0,0
2025-08-05,0,0
2025-08-04,0,0
2025-08-03,0,0
2025-08-02,0,0
2025-08-01,0,0
2025-07-31,0,0
2025-07-30,0,0
2025-07-29,0,0
2025-07-28,0,0
2025-07-27,0,0
2025-07-26,0,0
2025-07-25,0,0
2025-07-24,0,0
2025-07-23,0,0
2025-07-22,0,0
2025-07-21,0,0
2025-07-20,0,0
2025-07-19,0,0
2025-07-17,0,0
2025-07-15,0,0
2025-07-14,0,0
2025-07-13,0,0
2025-07-12,0,0
2025-07-11,0,0
2025-07-10,0,0
2025-07-09,0,0
2025-07-08,0,0
2025-07-07,0,0
2025-07-06,0,0
2025-07-05,0,0
2025-07-04,0,0
2025-07-03,0,0
2025-07-02,0,0
2025-07-01,0,0
2025-06-29,0,0
2025-06-28,0,0
2025-06-27,0,0
2025-06-26,0,0
2025-06-25,0,0
2025-06-24,0,0
2025-06-23,0,0
2025-06-22,0,0
2025-06-21,0,0
2025-06-20,0,0
2025-06-19,0,0
2025-06-18,0,0
2025-06-17,0,0
2025-06-16,0,0
2025-06-15,0,0
2025-06-14,0,0
2025-06-13,0,0
2025-06-12,0,0
2025-06-11,0,0
2025-06-10,0,0
2025-06-09,0,0
2025-06-08,0,0
2025-06-07,0,0
2025-06-06,0,0
2025-06-05,0,0
2025-06-04,0,0
2025-06-03,0,0
2025-06-02,0,0
2025-06-01,0,0
2025-05-31,0,0
2025-05-30,0,0
2025-05-29,0,0
